lat,lon,value
33.9191799,-118.4164652,1
40.787878,-74.3882072,1
40.2731911,-76.8867008,1
40.3572976,-74.6672226,1
40.4406248,-79.9958864,1
42.3600825,-71.0588801,1
33.6839473,-117.7946942,1
29.7604267,-95.3698028,1
39.768403,-86.158068,1
32.8140177,-96.9488945,1
41.8781136,-87.6297982,1
40.5868114,-74.6985891,1
35.410694,-80.8428504,1
33.7489954,-84.3879824,1
37.7021521,-121.9357918,1
37.7749295,-122.4194155,1
30.267153,-97.7430608,1
40.669264,-74.6804,1
37.36883,-122.0363496,1
37.3382082,-121.8863286,1
33.1506744,-96.8236116,1
40.0756627,-75.4590816,1
35.2270869,-80.8431267,1
38.8799697,-77.1067698,1
38.9822282,-94.6707917,1
38.6270025,-90.1994042,1
40.7127837,-74.0059413,1
38.6608855,-90.422618,1
42.245869,-84.4013462,1
44.9211836,-93.4687489,1
32.715738,-117.1610838,1
42.2203171,-83.4838244,1
37.7799273,-121.9780153,1
38.8942786,-77.4310992,1
39.1031182,-84.5120196,1
42.4792618,-71.1522765,1
40.045824,-75.4395931,1
39.7392358,-104.990251,1
33.4483771,-112.0740373,1
44.977753,-93.2650108,1
40.6084305,-75.4901833,1
39.9525839,-75.1652215,1
39.3326927,-76.7595659,1
42.1711365,-87.8445119,1
44.8546856,-93.470786,1
34.055103,-117.7499909,1
34.0805651,-118.072846,1
25.7616798,-80.1917902,1
34.1069527,-117.9353413,1
40.6781784,-73.9441579,1
38.5815719,-121.4943996,1
43.4194699,-83.9508068,1
44.9238552,-92.9593797,1
42.0883603,-87.9806265,1
40.1012856,-75.3835525,1
42.36837,-83.3527097,1
42.4733688,-83.2218731,1
45.0105194,-93.4555093,1
47.4828776,-122.2170661,1
42.48059,-83.4754913,1
40.8514881,-74.7329411,1
40.6984348,-74.4015405,1
33.0198431,-96.6988856,1
37.6624312,-121.8746789,1
44.8832982,-93.2830021,1
36.8507689,-76.2858726,1
39.0839973,-77.1527578,1
41.826488,-72.7300945,1
47.6739881,-122.121512,1
47.6062095,-122.3320708,1
43.1788967,-88.1173132,1
29.3522632,-95.4602763,1
29.6196787,-95.6349463,1
41.8089191,-88.0111746,1
41.8525984,-72.6437022,1
41.7637111,-72.6850932,1
34.1477849,-118.1445155,1
38.3031837,-77.4605399,1
38.9949153,-77.0772052,1
34.0522342,-118.2436849,1
34.165357,-118.6089752,1
42.331427,-83.0457538,1
42.5481714,-71.1724467,1
40.7663711,-74.0253715,1
42.6525793,-73.7562317,1
40.7281575,-74.0776417,1
44.8896866,-93.3499489,1
32.9483335,-96.7298519,1
29.4241219,-98.4936282,1
40.7692649,-73.1151117,1
44.519159,-88.019826,1
39.613321,-105.0166498,1
37.4323341,-121.8995741,1
40.4842027,-88.9936873,1
40.6951408,-74.4012651,1
39.9611755,-82.9987942,1
41.7360305,-72.795027,1
41.4570108,-72.8230736,1
21.3069444,-157.8583333,1
43.1836046,-89.2137254,1
40.3968012,-74.0915982,1
42.0938577,-86.4895463,1
41.0534302,-73.5387341,1
39.8403147,-88.9548001,1
40.071222,-74.8648873,1
40.0455917,-86.0085955,1
43.135288,-87.9356423,1
37.5407246,-77.4360481,1
42.7891985,-85.5166864,1
40.7146376,-74.3646122,1
33.7700504,-118.1937395,1
29.9510658,-90.0715323,1
32.7766642,-96.7969879,1
40.2109404,-75.2782317,1
41.0414857,-74.129032,1
40.1742757,-75.1068388,1
41.0167639,-74.2057011,1
40.6936488,-89.5889864,1
41.3497456,-72.0790717,1
41.6612104,-72.7795419,1
47.6101497,-122.2015159,1
38.9071923,-77.0368707,1
38.2526647,-85.7584557,1
42.3459271,-71.5522874,1
37.3860517,-122.0838511,1
32.7554883,-97.3307658,1
41.117744,-73.4081575,1
37.4418834,-122.1430195,1
26.1224386,-80.1373174,1
37.831316,-122.2852473,1
45.076076,-93.3327283,1
41.0400135,-73.7144477,1
41.8137116,-71.3700545,1
42.9633599,-85.6680863,1
47.76095,-122.2055883,1
36.1867442,-94.1288141,1
42.1900249,-87.9084039,1
42.9602743,-90.1301237,1
41.7508391,-88.1535352,1
39.4900013,-76.6585074,1
40.8395922,-74.4818698,1
42.2917069,-85.5872286,1
40.0698321,-75.3162951,1
25.8195424,-80.3553302,1
40.5939636,-74.6049061,1
38.5890723,-121.302728,1
40.6808726,-74.4310524,1
34.1394513,-117.9772873,1
42.6875323,-83.2341028,1
39.3600586,-84.309939,1
34.1705609,-118.8375937,1
40.0992294,-83.1140771,1
38.6631083,-90.5770675,1
40.6155663,-74.7702576,1
40.8171184,-89.5679474,1
35.9940329,-78.898619,1
39.7390721,-75.5397878,1
41.801141,-88.0747875,1
39.978371,-86.1180435,1
40.1856597,-75.451571,1
43.16103,-77.6109219,1
42.9956397,-71.4547891,1
30.0799405,-95.4171601,1
41.127833,-81.609844,1
35.4675602,-97.5164276,1
40.8200623,-74.3647247,1
40.8259007,-74.2090053,1
40.8652865,-74.4173877,1
40.1261743,-82.9290696,1
33.4255104,-111.9400054,1
37.4529598,-122.1817252,1
32.96179,-96.8291685,1
42.6455915,-84.6488707,1
40.1523309,-75.266289,1
38.232417,-122.6366524,1
42.3056501,-71.5245087,1
39.0558235,-95.6890185,1
39.6837226,-75.7496572,1
41.0814447,-81.5190053,1
42.1275267,-87.8289548,1
41.04422,-83.6499321,1
40.3284402,-74.790718,1
45.487062,-122.8037102,1
38.5126456,-90.4429881,1
42.3736158,-71.1097335,1
40.3382543,-74.585292,1
40.2398118,-76.9199742,1
44.9537029,-93.0899578,1
37.2934681,-80.0547626,1
39.9567548,-86.01335,1
41.5772115,-93.711332,1
35.9250637,-86.8688899,1
34.0753762,-84.2940899,1
40.0333961,-83.1582451,1
38.9586307,-77.3570028,1
40.2599864,-74.7909125,1
41.0234304,-74.0665297,1
27.7518284,-82.6267345,1
36.3728538,-94.2088172,1
42.0028761,-71.5147839,1
35.1495343,-90.0489801,1
33.8358492,-118.3406288,1
28.5383355,-81.3792365,1
37.8043637,-122.2711137,1
40.7151691,-74.6576091,1
42.3211522,-85.1797142,1
36.7473114,-95.9808179,1
44.9530215,-92.9952153,1
34.8526176,-82.3940104,1
42.5803122,-83.0302033,1
39.926813,-75.0246312,1
40.7598227,-74.417097,1
40.4623454,-74.3272286,1
39.7817213,-89.6501481,1
42.7261309,-87.7828523,1
41.278637,-73.0265277,1
40.875891,-81.4023356,1
34.1808392,-118.3089661,1
47.5301011,-122.0326191,1
39.0167275,-84.6007773,1
40.6081591,-74.2776468,1
38.984652,-77.0947092,1
39.1434406,-77.2013705,1
38.7892801,-77.1872036,1
41.3164856,-73.0931641,1
33.4941704,-111.9260519,1
38.8048355,-77.0469214,1
41.6709834,-93.7130493,1
40.2090521,-75.2964708,1
42.3667625,-71.3031132,1
40.5187154,-74.4120953,1
43.0494572,-88.0075875,1
42.5584283,-70.880049,1
33.9412127,-84.2135309,1
42.2586342,-87.840625,1
40.8120171,-74.1243063,1
38.3498195,-81.6326234,1
33.0145673,-97.0969552,1
42.5792027,-84.4435845,1
28.3936186,-81.5386842,1
39.9205411,-105.0866504,1
44.9260794,-93.4044187,1
38.8106075,-90.6998477,1
42.3764852,-71.2356113,1
30.1658207,-95.4612625,1
42.279286,-71.4161565,1
39.0997265,-94.5785667,1
42.0333607,-88.0834059,1
40.0415996,-75.3698895,1
40.7439905,-74.0323626,1
37.3229978,-122.0321823,1
37.9735346,-122.5310874,1
34.1425078,-118.255075,1
39.4812172,-76.6438598,1
39.2903848,-76.6121893,1
36.0395247,-114.9817213,1
40.5621704,-111.929658,1
35.823483,-78.8255621,1
43.0972174,-89.5042876,1
45.3840077,-122.7639851,1
45.5230622,-122.6764816,1
40.0325817,-75.6274583,1
38.7521235,-121.2880059,1
38.5434594,-121.2783728,1
41.8500302,-87.9645077,1
35.0456297,-85.3096801,1
39.9016273,-75.5103484,1
42.2079017,-71.0040013,1
30.3321838,-81.655651,1
39.6428362,-84.2866083,1
41.7798226,-71.4372796,1
42.1662831,-87.9631308,1
41.8397865,-87.9535534,1
37.4852152,-122.2363548,1
33.952602,-84.5499327,1
40.2170534,-74.7429384,1
28.3252878,-81.5331286,1
41.556996,-83.627157,1
40.6342489,-74.5004796,1
41.6005448,-93.6091064,1
43.0389025,-87.9064736,1
39.6417629,-77.7199932,1
36.9823709,-76.6310662,1
33.9022367,-118.081733,1
43.6155825,-84.2472116,1
45.4206749,-122.6706498,1
42.2011538,-85.5800022,1
41.8847507,-88.2039607,1
27.950575,-82.4571776,1
38.1341477,-121.2722194,1
40.2414952,-75.2837862,1
42.3917638,-71.0328284,1
47.0073187,-122.9093063,1
41.2306979,-73.064036,1
45.0502435,-93.1566112,1
41.2523634,-95.9979883,1
42.2393323,-87.9653565,1
37.5482697,-121.9885719,1
36.0726354,-79.7919754,1
35.7795897,-78.6381787,1
42.2286954,-71.5225646,1
34.9387279,-82.2270568,1
41.0467635,-74.0229173,1
41.452819,-82.1823746,1
41.0375968,-74.0406956,1
40.7985699,-74.2390828,1
30.5082551,-97.678896,1
26.640628,-81.8723084,1
35.780987,-78.3697213,1
41.1408363,-73.2612615,1
38.7714396,-90.3709489,1
40.8324211,-115.7631232,1
33.8352932,-117.9145036,1
38.9338676,-77.1772604,1
32.9265137,-96.8961151,1
41.6661573,-81.339552,1
41.9141945,-88.3086867,1
30.4382559,-84.2807329,1
26.3683064,-80.1289321,1
42.5584218,-71.2689461,1
41.9294736,-88.7503647,1
40.8712101,-74.7340523,1
40.0362184,-75.5138118,1
29.7857853,-95.8243956,1
26.7153424,-80.0533746,1
42.1167065,-86.4541894,1
39.755543,-105.2210997,1
36.1626638,-86.7816016,1
31.2232313,-85.3904888,1
33.2098407,-87.5691735,1
41.0584299,-74.0984756,1
34.2694474,-118.781482,1
41.9778795,-91.6656232,1
44.5235792,-89.574563,1
45.5228939,-122.989827,1
40.5753817,-74.3223703,1
42.1933581,-87.8664579,1
40.7933949,-77.8600012,1
41.6572525,-72.6655757,1
39.934002,-74.8909988,1
42.3875968,-71.0994968,1
38.7669954,-90.4115057,1
33.9830688,-118.096735,1
33.5206608,-86.80249,1
40.7989473,-81.378447,1
42.6064095,-83.1497751,1
44.97413,-93.5066217,1
42.0629915,-88.1227199,1
33.9304352,-84.3733147,1
42.1014831,-72.589811,1
35.8991678,-78.8636402,1
44.0121221,-92.4801989,1
37.5585465,-122.2710788,1
38.8226337,-94.8994355,1
41.5519954,-81.4784522,1
42.5047161,-71.1956205,1
40.7066174,-74.5493284,1
41.8239891,-71.4128343,1
38.9695545,-77.3860976,1
43.1978624,-70.8736698,1
40.8254055,-74.4022355,1
42.2139873,-71.2244987,1
41.621488,-72.7456519,1
47.5706548,-122.2220673,1
42.2528772,-71.0022705,1
40.7920441,-73.5398476,1
47.2528768,-122.4442906,1
42.5629668,-114.4608711,1
33.5676842,-117.7256083,1
36.1539816,-95.992775,1
41.1414717,-73.3579049,1
26.8797819,-80.0533743,1
32.9545687,-97.0150078,1
38.9716689,-95.2352501,1
41.394817,-73.4540111,1
40.7512123,-73.9036487,1
40.554887,-74.4642861,1
35.9606384,-83.9207392,1
41.0339862,-73.7629097,1
38.9012225,-77.2652604,1
42.2808256,-83.7430378,1
40.735657,-74.1723667,1
42.1615157,-70.7927832,1
29.7355047,-94.9774274,1
