lat,lon,value
21.3069444,-157.8583333,1
61.2180556,-149.9002778,1
44.5645659,-123.2620435,1
44.0462362,-123.0220289,1
45.5228939,-122.989827,1
47.0073187,-122.9093063,1
47.0378741,-122.9006951,1
47.0342629,-122.8231915,1
45.487062,-122.8037102,1
45.2998418,-122.7737062,1
38.440429,-122.7140548,1
45.5230622,-122.6764816,1
37.9735346,-122.5310874,1
37.8590937,-122.4852507,1
37.7749295,-122.4194155,1
37.6807661,-122.3999715,1
37.5778696,-122.34809,1
47.6062095,-122.3320708,1
37.8043637,-122.2711137,1
47.6101497,-122.2015159,1
47.6739881,-122.121512,1
37.9100783,-122.0651819,1
37.36883,-122.0363496,1
37.9779776,-122.0310733,1
37.7799273,-121.9780153,1
37.3541079,-121.9552356,1
36.6002378,-121.8946761,1
37.3382082,-121.8863286,1
37.6624312,-121.8746789,1
38.5804609,-121.530234,1
38.5815719,-121.4943996,1
38.5890723,-121.302728,1
37.9577016,-121.2907796,1
38.6262937,-121.2466156,1
38.6857367,-121.082167,1
37.6390972,-120.9968782,1
34.4358294,-119.8276389,1
39.5296329,-119.8138027,1
46.2856907,-119.2844621,1
34.2163937,-119.0376023,1
34.1705609,-118.8375937,1
34.165357,-118.6089752,1
33.8358492,-118.3406288,1
34.1808392,-118.3089661,1
33.7857948,-118.2643567,1
34.0522342,-118.2436849,1
33.7700504,-118.1937395,1
34.1477849,-118.1445155,1
34.5794343,-118.1164613,1
34.1069527,-117.9353413,1
34.1066756,-117.8067257,1
33.6839473,-117.7946942,1
33.6469661,-117.689218,1
47.6587802,-117.4260466,1
33.1580933,-117.3505939,1
47.6732281,-117.2393748,1
34.0555693,-117.1825381,1
32.715738,-117.1610838,1
33.4936391,-117.1483648,1
43.6121087,-116.3915131,1
43.6187102,-116.2146068,1
36.1699412,-115.1398296,1
42.8713032,-112.4455344,1
33.5386523,-112.1859866,1
33.4483771,-112.0740373,1
46.5883707,-112.0245054,1
41.223,-111.9738304,1
40.7607793,-111.8910474,1
40.6668916,-111.8879909,1
32.2217429,-110.926479,1
35.0853336,-106.6055534,1
31.7618778,-106.4850217,1
35.6869752,-105.937799,1
39.9205411,-105.0866504,1
40.5852602,-105.084423,1
39.8366528,-105.0372046,1
39.7392358,-104.990251,1
39.6477653,-104.9877597,1
39.6172101,-104.9508141,1
39.5807452,-104.8771726,1
38.8338816,-104.8213634,1
41.1448219,-102.9774497,1
48.2329668,-101.2922906,1
46.8083268,-100.7837392,1
29.4241219,-98.4936282,1
30.267153,-97.7430608,1
30.5082551,-97.678896,1
38.3708415,-97.6642087,1
35.4675602,-97.5164276,1
38.1383437,-97.4314267,1
32.7554883,-97.3307658,1
37.6871761,-97.330053,1
32.991235,-97.1950138,1
35.0077519,-97.092877,1
32.9545687,-97.0150078,1
33.046233,-96.994174,1
32.8140177,-96.9488945,1
32.96179,-96.8291685,1
33.1506744,-96.8236116,1
32.7766642,-96.7969879,1
46.8771863,-96.7898034,1
43.5445959,-96.7311034,1
33.0198431,-96.6988856,1
40.8257625,-96.6851982,1
33.1972465,-96.6397822,1
30.6743643,-96.3699632,1
30.627977,-96.3344068,1
41.2523634,-95.9979883,1
36.1539816,-95.992775,1
36.060949,-95.7974526,1
44.448423,-95.7911916,1
39.0558235,-95.6890185,1
29.6160671,-95.5577221,1
29.7604267,-95.3698028,1
32.3512601,-95.3010624,1
38.9822282,-94.6707917,1
39.0277832,-94.6557914,1
39.0997265,-94.5785667,1
35.3859242,-94.3985475,1
38.9108408,-94.3821724,1
36.3728538,-94.2088172,1
45.5579451,-94.1632404,1
41.6005448,-93.6091064,1
44.8546856,-93.470786,1
45.0105194,-93.4555093,1
44.9917149,-93.3600034,1
44.8896866,-93.3499489,1
44.840798,-93.2982799,1
37.2089572,-93.2922989,1
44.977753,-93.2650108,1
44.0855572,-93.2259349,1
45.1049656,-93.2085582,1
44.8041322,-93.1668858,1
36.2297936,-93.1076765,1
44.9537029,-93.0899578,1
34.5037004,-93.0551795,1
44.0121221,-92.4801989,1
42.7272032,-92.4668511,1
34.7464809,-92.2895948,1
38.5767017,-92.1735164,1
32.5093109,-92.1193012,1
41.9778795,-91.6656232,1
41.6611277,-91.5301683,1
44.811349,-91.4984941,1
43.8013556,-91.2395807,1
30.4582829,-91.1403196,1
42.5005583,-90.6645718,1
41.5236437,-90.5776367,1
41.5067003,-90.5151342,1
38.7881062,-90.4974359,1
38.5126456,-90.4429881,1
38.6270025,-90.1994042,1
32.2987573,-90.1848103,1
32.4284761,-90.1323087,1
29.9510658,-90.0715323,1
35.1495343,-90.0489801,1
39.7817213,-89.6501481,1
44.9591352,-89.6301221,1
44.5235792,-89.574563,1
40.8171184,-89.5679474,1
40.6128161,-89.4592609,1
43.0730517,-89.4012302,1
42.2711311,-89.0939952,1
40.4842027,-88.9936873,1
41.9294736,-88.7503647,1
44.1858193,-88.462609,1
44.2619309,-88.4153847,1
42.0354084,-88.2825668,1
42.0629915,-88.1227199,1
43.1788967,-88.1173132,1
41.8661403,-88.1070127,1
43.0605671,-88.1064787,1
42.353355,-88.0934145,1
42.0333607,-88.0834059,1
41.801141,-88.0747875,1
42.888627,-88.0384195,1
44.519159,-88.019826,1
41.8089191,-88.0111746,1
41.8397865,-87.9535534,1
42.2830786,-87.9531303,1
42.2333571,-87.9259058,1
42.1900249,-87.9084039,1
43.0389025,-87.9064736,1
42.1675254,-87.897014,1
42.3636331,-87.8447938,1
42.1711365,-87.8445119,1
42.325578,-87.8411818,1
42.7261309,-87.7828523,1
41.8781136,-87.6297982,1
37.9715592,-87.5710898,1
36.5297706,-87.3594528,1
30.421309,-87.2169149,1
41.4730948,-87.0611412,1
38.3914418,-86.9311094,1
40.4258686,-86.9080655,1
35.9250637,-86.8688899,1
33.4053867,-86.8113781,1
33.5206608,-86.80249,1
36.1626638,-86.7816016,1
36.1988486,-86.6197777,1
34.7303688,-86.5861037,1
42.0938577,-86.4895463,1
36.9685219,-86.4808043,1
32.3668052,-86.2999689,1
39.768403,-86.158068,1
42.7875235,-86.1089301,1
39.9567548,-86.01335,1
39.2014404,-85.9213796,1
41.2381,-85.8530469,1
38.2526647,-85.7584557,1
