lat,lon,value
41.7634219,-72.6128339,1
37.36883,-122.0363496,1
41.801141,-88.0747875,1
42.4989936,-83.3677168,1
40.7127837,-74.0059413,1
35.79154,-78.7811169,1
47.6739881,-122.121512,1
40.6081591,-74.2776468,1
47.6101497,-122.2015159,1
33.7489954,-84.3879824,1
32.7554883,-97.3307658,1
40.3789957,-74.5465436,1
37.3860517,-122.0838511,1
38.8338816,-104.8213634,1
40.5868114,-74.6985891,1
35.9940329,-78.898619,1
47.76095,-122.2055883,1
35.042036,-89.6645266,1
38.9071923,-77.0368707,1
32.8546197,-79.9748103,1
40.7281575,-74.0776417,1
33.0198431,-96.6988856,1
33.6839473,-117.7946942,1
28.5383355,-81.3792365,1
37.3382082,-121.8863286,1
27.950575,-82.4571776,1
40.2090521,-75.2964708,1
29.4241219,-98.4936282,1
33.1972465,-96.6397822,1
37.5296593,-122.0402399,1
47.9789848,-122.2020794,1
47.5301011,-122.0326191,1
26.3683064,-80.1289321,1
32.7766642,-96.7969879,1
29.7604267,-95.3698028,1
40.2640578,-74.8181929,1
42.245869,-84.4013462,1
39.755543,-105.2210997,1
39.1031182,-84.5120196,1
47.6062095,-122.3320708,1
37.7749295,-122.4194155,1
42.6064095,-83.1497751,1
34.1808392,-118.3089661,1
39.5807452,-104.8771726,1
37.5407246,-77.4360481,1
43.0389025,-87.9064736,1
35.2270869,-80.8431267,1
39.2014404,-85.9213796,1
41.2381,-85.8530469,1
33.1506744,-96.8236116,1
41.6611277,-91.5301683,1
37.5585465,-122.2710788,1
41.0534302,-73.5387341,1
40.2599864,-74.7909125,1
41.8239891,-71.4128343,1
40.6936488,-89.5889864,1
34.0753762,-84.2940899,1
43.0730517,-89.4012302,1
40.1392766,-74.9810019,1
42.8864468,-78.8783689,1
41.5067003,-90.5151342,1
40.8200623,-74.3647247,1
33.3061605,-111.8412502,1
29.9510658,-90.0715323,1
40.7663711,-74.0253715,1
37.7799273,-121.9780153,1
42.2528772,-71.0022705,1
37.4323341,-121.8995741,1
43.0494572,-88.0075875,1
34.1397694,-118.3505779,1
42.36837,-83.3527097,1
35.7795897,-78.6381787,1
40.8853773,-73.9523597,1
36.1626638,-86.7816016,1
43.6187102,-116.2146068,1
38.9949153,-77.0772052,1
35.1495343,-90.0489801,1
37.831316,-122.2852473,1
32.8140177,-96.9488945,1
37.4418834,-122.1430195,1
39.768403,-86.158068,1
38.2526647,-85.7584557,1
26.8797819,-80.0533743,1
32.9483335,-96.7298519,1
42.7261309,-87.7828523,1
28.3252878,-81.5331286,1
39.9205411,-105.0866504,1
40.2414952,-75.2837862,1
32.991235,-97.1950138,1
41.5242649,-72.0759105,1
40.3572976,-74.6672226,1
38.6779591,-121.1760583,1
39.7390721,-75.5397878,1
40.5852602,-105.084423,1
35.1598391,-89.761545,1
40.5184013,-80.1667247,1
45.0791325,-93.1471667,1
41.8781136,-87.6297982,1
41.2523634,-95.9979883,1
40.8120171,-74.1243063,1
42.3667625,-71.3031132,1
42.3764852,-71.2356113,1
33.4483771,-112.0740373,1
39.0839973,-77.1527578,1
34.0522342,-118.2436849,1
40.9253725,-74.2765441,1
37.6624312,-121.8746789,1
33.8358492,-118.3406288,1
41.0167639,-74.2057011,1
41.0339862,-73.7629097,1
39.9525839,-75.1652215,1
42.279286,-71.4161565,1
40.497604,-74.4884868,1
37.4529598,-122.1817252,1
42.5750939,-71.0786653,1
32.715738,-117.1610838,1
42.3222599,-83.1763145,1
45.5230622,-122.6764816,1
40.7934322,-73.4151214,1
35.7212689,-77.9155395,1
39.8366528,-105.0372046,1
42.0027181,-72.5441445,1
28.7588833,-81.3178446,1
42.3736158,-71.1097335,1
28.3936186,-81.5386842,1
41.04422,-83.6499321,1
33.9562149,-83.9879625,1
45.5228939,-122.989827,1
41.8397865,-87.9535534,1
41.5278742,-73.1276107,1
34.3740431,-80.0734005,1
43.5944677,-83.8888647,1
32.9412363,-97.1341783,1
35.4675602,-97.5164276,1
33.8536269,-118.1339563,1
25.8195424,-80.3553302,1
34.0514898,-84.0712997,1
37.8043637,-122.2711137,1
37.3541079,-121.9552356,1
42.3600825,-71.0588801,1
32.0835407,-81.0998342,1
36.1699412,-115.1398296,1
42.2711311,-89.0939952,1
33.9166805,-117.9000604,1
40.8256536,-73.2026138,1
47.4828776,-122.2170661,1
40.5695474,-74.6329363,1
44.977753,-93.2650108,1
38.7714396,-90.3709489,1
42.4906231,-71.2760089,1
42.0841936,-88.0131275,1
36.2297936,-93.1076765,1
35.0073697,-80.9450759,1
40.4406248,-79.9958864,1
33.8675143,-117.9981181,1
33.7455731,-117.8678338,1
30.1658207,-95.4612625,1
42.2830786,-87.9531303,1
30.267153,-97.7430608,1
25.7616798,-80.1917902,1
42.3459271,-71.5522874,1
41.6612104,-72.7795419,1
42.2695216,-71.6161294,1
41.9348537,-87.879523,1
46.8771863,-96.7898034,1
39.2903848,-76.6121893,1
38.8048355,-77.0469214,1
38.8942786,-77.4310992,1
40.1164204,-88.2433829,1
33.9191799,-118.4164652,1
43.2122851,-77.4299939,1
39.6837226,-75.7496572,1
37.5629917,-122.3255254,1
41.0814447,-81.5190053,1
47.8209301,-122.3151313,1
33.8316745,-118.281693,1
42.3709299,-71.1828321,1
33.6189101,-117.9289469,1
40.0415996,-75.3698895,1
43.16103,-77.6109219,1
42.2575385,-83.2110375,1
44.519159,-88.019826,1
40.0756627,-75.4590816,1
28.2919557,-81.407571,1
41.9778795,-91.6656232,1
34.1069527,-117.9353413,1
30.3321838,-81.655651,1
33.8886259,-117.8131125,1
40.7895453,-74.0565298,1
42.6875323,-83.2341028,1
42.5047161,-71.1956205,1
40.1012856,-75.3835525,1
37.7652065,-122.2416355,1
39.6620397,-75.5668166,1
34.0211224,-118.3964665,1
42.353355,-88.0934145,1
42.2886529,-85.418056,1
40.787878,-74.3882072,1
28.0836269,-80.6081089,1
39.1731621,-77.2716502,1
35.823483,-78.8255621,1
32.8084605,-98.1128223,1
40.2109404,-75.2782317,1
30.4382559,-84.2807329,1
43.6155825,-84.2472116,1
40.5939636,-74.6049061,1
40.6155663,-74.7702576,1
32.8406946,-83.6324022,1
39.9016273,-75.5103484,1
44.9537029,-93.0899578,1
32.3909071,-110.966488,1
42.1675254,-87.897014,1
40.8932469,-74.0116536,1
42.3056501,-71.5245087,1
42.5750009,-70.932122,1
33.7458511,-117.826166,1
38.9695545,-77.3860976,1
39.6477653,-104.9877597,1
44.0886059,-87.657584,1
37.6304904,-122.4110835,1
40.7439905,-74.0323626,1
33.9304352,-84.3733147,1
41.010653,-73.9912493,1
40.1295515,-75.3785172,1
41.2428563,-73.2006639,1
40.8206555,-74.2937594,1
38.6631083,-90.5770675,1
40.7967667,-74.4815438,1
43.2200583,-78.3869685,1
28.2441768,-82.7192671,1
42.9633599,-85.6680863,1
38.9822282,-94.6707917,1
33.1031744,-96.6705503,1
45.0060767,-93.1566107,1
36.5092118,-86.8849984,1
42.1662831,-87.9631308,1
39.7787655,-77.6735804,1
42.5584283,-70.880049,1
44.9211836,-93.4687489,1
41.9487077,-71.0731162,1
42.6389216,-83.2910468,1
37.4137536,-79.1422464,1
42.0938577,-86.4895463,1
42.1711365,-87.8445119,1
41.5192189,-81.457896,1
40.1672068,-105.1019275,1
41.9867507,-87.8721602,1
41.6285498,-71.6638132,1
40.6975898,-74.2631635,1
42.2393323,-87.9653565,1
41.6524911,-70.2881124,1
38.7131073,-90.4298401,1
38.440429,-122.7140548,1
45.2998418,-122.7737062,1
38.9536174,-94.7335709,1
41.9164343,-83.3977101,1
40.669264,-74.6804,1
47.6768927,-122.2059833,1
34.0194543,-118.4911912,1
41.117744,-73.4081575,1
40.121497,-75.3399048,1
39.3600586,-84.309939,1
42.5584218,-71.2689461,1
42.6583356,-71.1367953,1
47.9445396,-122.3045815,1
39.613321,-105.0166498,1
38.9586307,-77.3570028,1
43.0481221,-76.1474244,1
41.0762077,-73.8587461,1
37.6871761,-97.330053,1
40.6342489,-74.5004796,1
39.0437567,-77.4874416,1
32.96179,-96.8291685,1
37.0510595,-122.0146841,1
33.6469661,-117.689218,1
40.5187154,-74.4120953,1
30.4393696,-97.6200043,1
40.3016375,-74.7361013,1
45.0941315,-93.3563405,1
42.0834313,-71.396725,1
34.1517492,-118.5214282,1
42.2811843,-71.0245188,1
39.0558235,-95.6890185,1
41.7508391,-88.1535352,1
39.9606643,-75.6054882,1
34.7464809,-92.2895948,1
37.5482697,-121.9885719,1
38.3606736,-75.5993692,1
40.554887,-74.4642861,1
39.2037144,-76.8610462,1
39.6428362,-84.2866083,1
38.9989499,-84.6266111,1
35.0886963,-92.4421011,1
34.1425078,-118.255075,1
40.8652865,-74.4173877,1
36.1054312,-77.7127535,1
41.49932,-81.6943605,1
32.3095903,-90.1389757,1
34.187044,-118.3812562,1
40.6951408,-74.4012651,1
33.8352932,-117.9145036,1
38.7907339,-121.2357828,1
33.4255104,-111.9400054,1
40.6639916,-74.2107006,1
42.4430372,-71.2289641,1
40.1006661,-74.8518311,1
40.6764911,-74.2907032,1
36.0726354,-79.7919754,1
34.0007104,-81.0348144,1
41.6717648,-72.9492703,1
44.8619645,-93.5323103,1
29.2108147,-81.0228331,1
42.2808256,-83.7430378,1
36.3231066,-86.7133302,1
33.7877944,-117.8531119,1
40.3432857,-111.7207608,1
44.3106241,-69.7794897,1
47.4739884,-122.2609558,1
35.8991678,-78.8636402,1
39.5309389,-76.6458043,1
37.1305012,-121.6543901,1
42.1943909,-71.1989695,1
39.2320029,-84.3782734,1
42.6159285,-70.6619888,1
40.1784422,-75.1285061,1
42.7653662,-71.467566,1
40.5649781,-111.8389726,1
40.7764882,-73.4673454,1
42.2586342,-87.840625,1
42.9106219,-76.7966215,1
39.165325,-86.5263857,1
41.7075394,-86.8950297,1
37.4852152,-122.2363548,1
40.5742696,-74.60988,1
43.5978075,-84.7675139,1
40.8418677,-74.7161489,1
42.7509332,-83.0576156,1
42.0405852,-87.7825621,1
40.7598227,-74.417097,1
33.4941704,-111.9260519,1
45.0502435,-93.1566112,1
39.7392358,-104.990251,1
38.8799697,-77.1067698,1
41.8500302,-87.9645077,1
38.232417,-122.6366524,1
41.9445441,-71.2856082,1
34.0028786,-84.1446376,1
42.2286954,-71.5225646,1
38.2544472,-104.6091409,1
36.7473114,-95.9808179,1
40.875891,-81.4023356,1
41.2306979,-73.064036,1
42.9026136,-78.744572,1
41.0584299,-74.0984756,1
44.7677424,-93.2777226,1
40.7146376,-74.3646122,1
40.6808726,-74.4310524,1
41.5581525,-73.0514965,1
42.0491958,-91.6815252,1
34.2978794,-83.8240663,1
25.8406526,-80.3264404,1
34.8526176,-82.3940104,1
37.9735346,-122.5310874,1
40.245664,-74.8459972,1
34.1533395,-118.7616764,1
44.840798,-93.2982799,1
41.5628294,-83.6538244,1
40.7607793,-111.8910474,1
42.1167065,-86.4541894,1
42.0333607,-88.0834059,1
42.050091,-71.8800628,1
39.1753377,-84.2943821,1
42.7875235,-86.1089301,1
40.7692649,-73.1151117,1
33.9616801,-118.3531311,1
33.660297,-117.9992265,1
37.9357576,-122.3477486,1
45.5579451,-94.1632404,1
42.325578,-87.8411818,1
43.1706128,-78.6903098,1
34.0197335,-117.9586754,1
35.5848596,-80.8100724,1
41.0400135,-73.7144477,1
42.2222614,-83.3965994,1
33.4269728,-117.6119925,1
40.2170534,-74.7429384,1
35.9250637,-86.8688899,1
39.934002,-74.8909988,1
40.5753817,-74.3223703,1
33.8169599,-118.0372852,1
39.7817213,-89.6501481,1
33.6795531,-84.4393724,1
40.8567662,-74.1284764,1
29.7857853,-95.8243956,1
33.5206608,-86.80249,1
40.9012101,-74.5143232,1
43.0906186,-77.5149969,1
33.6411316,-117.9186689,1
44.7893446,-93.6018389,1
34.165357,-118.6089752,1
41.4570108,-72.8230736,1
39.4453393,-83.8285375,1
42.4733688,-83.2218731,1
40.6417683,-74.8359987,1
32.4206736,-104.2288375,1
40.2364486,-83.3671432,1
40.7151691,-74.6576091,1
