lat,lon,value
29.7604267,-95.3698028,1
44.840798,-93.2982799,1
39.9525839,-75.1652215,1
40.3968012,-74.0915982,1
42.3736158,-71.1097335,1
37.3382082,-121.8863286,1
32.7766642,-96.7969879,1
35.2270869,-80.8431267,1
39.7392358,-104.990251,1
37.2709704,-79.9414266,1
33.4483771,-112.0740373,1
35.79154,-78.7811169,1
40.554887,-74.4642861,1
40.7934322,-73.4151214,1
41.8781136,-87.6297982,1
44.8041322,-93.1668858,1
44.2619309,-88.4153847,1
43.0389025,-87.9064736,1
34.1808392,-118.3089661,1
47.6739881,-122.121512,1
42.3636331,-87.8447938,1
40.735657,-74.1723667,1
33.7489954,-84.3879824,1
39.9611755,-82.9987942,1
37.36883,-122.0363496,1
40.4406248,-79.9958864,1
39.7817213,-89.6501481,1
40.0149856,-105.2705456,1
42.098408,-76.0493684,1
41.8239891,-71.4128343,1
40.8853773,-73.9523597,1
36.1539816,-95.992775,1
42.2393323,-87.9653565,1
42.1711365,-87.8445119,1
39.3600586,-84.309939,1
45.1049656,-93.2085582,1
43.0116784,-88.2314813,1
40.3572976,-74.6672226,1
40.787878,-74.3882072,1
40.0756627,-75.4590816,1
37.3541079,-121.9552356,1
42.0333623,-87.8833991,1
35.9940329,-78.898619,1
40.4862157,-74.4518188,1
40.7895453,-74.0565298,1
37.3860517,-122.0838511,1
33.4936391,-117.1483648,1
30.0799405,-95.4171601,1
41.5236437,-90.5776367,1
41.817807,-88.1734021,1
44.977753,-93.2650108,1
38.1074198,-122.5697032,1
38.0171441,-122.2885808,1
42.9854395,-73.7868236,1
32.8140177,-96.9488945,1
33.8358492,-118.3406288,1
40.8652865,-74.4173877,1
38.6270025,-90.1994042,1
30.4582829,-91.1403196,1
25.7616798,-80.1917902,1
39.5473962,-76.6735137,1
39.0997265,-94.5785667,1
37.4323341,-121.8995741,1
37.654656,-122.4077498,1
40.1856597,-75.451571,1
39.768403,-86.158068,1
42.1900249,-87.9084039,1
36.3728538,-94.2088172,1
40.0415996,-75.3698895,1
40.5939636,-74.6049061,1
42.6159285,-70.6619888,1
30.1658207,-95.4612625,1
43.6187102,-116.2146068,1
40.7607793,-111.8910474,1
40.8171184,-89.5679474,1
33.9191799,-118.4164652,1
40.2364486,-83.3671432,1
40.666149,-89.5800978,1
38.232417,-122.6366524,1
42.325578,-87.8411818,1
40.4842027,-88.9936873,1
39.9259463,-75.1196199,1
47.6587802,-117.4260466,1
34.165357,-118.6089752,1
33.4941704,-111.9260519,1
42.4733688,-83.2218731,1
38.9695545,-77.3860976,1
34.0007104,-81.0348144,1
40.744679,-73.9485424,1
40.5695474,-74.6329363,1
40.7127837,-74.0059413,1
40.7281575,-74.0776417,1
38.5890723,-121.302728,1
40.6532076,-80.0794925,1
42.0938577,-86.4895463,1
41.6053266,-81.4534492,1
42.0333607,-88.0834059,1
29.4241219,-98.4936282,1
42.9825633,-77.4088794,1
39.1031182,-84.5120196,1
42.3764852,-71.2356113,1
42.3600825,-71.0588801,1
43.1788967,-88.1173132,1
40.0811745,-82.8087864,1
40.7439905,-74.0323626,1
41.079273,-85.1393513,1
35.0456297,-85.3096801,1
40.9253725,-74.2765441,1
32.715738,-117.1610838,1
44.519159,-88.019826,1
35.4675602,-97.5164276,1
32.7554883,-97.3307658,1
37.5482697,-121.9885719,1
41.0167639,-74.2057011,1
26.1224386,-80.1373174,1
37.5407246,-77.4360481,1
30.267153,-97.7430608,1
36.0998596,-80.244216,1
41.7637111,-72.6850932,1
43.0481221,-76.1474244,1
38.9536174,-94.7335709,1
41.4793072,-73.2133715,1
41.767455,-71.3646694,1
41.8500302,-87.9645077,1
32.9545687,-97.0150078,1
38.9071923,-77.0368707,1
38.984652,-77.0947092,1
41.0534302,-73.5387341,1
39.1434406,-77.2013705,1
45.487062,-122.8037102,1
34.7370639,-82.2542834,1
38.9822282,-94.6707917,1
43.0653446,-76.0785332,1
42.304505,-87.8960712,1
40.6936488,-89.5889864,1
37.7749295,-122.4194155,1
34.9248667,-81.0250784,1
40.0992294,-83.1140771,1
38.2526647,-85.7584557,1
40.0362184,-75.5138118,1
44.9537029,-93.0899578,1
41.117744,-73.4081575,1
47.6062095,-122.3320708,1
41.1264849,-73.7140195,1
41.9487077,-71.0731162,1
42.0722513,-87.7228384,1
43.661471,-70.2553259,1
27.950575,-82.4571776,1
41.5067003,-90.5151342,1
40.0583238,-74.4056612,1
39.2037144,-76.8610462,1
47.6768927,-122.2059833,1
42.7369792,-84.4838654,1
41.3645382,-74.1059775,1
42.9908152,-76.4538491,1
27.8661364,-82.3264809,1
29.7030024,-98.1244531,1
39.7390721,-75.5397878,1
26.3683064,-80.1289321,1
32.5093109,-92.1193012,1
38.2097967,-84.5588311,1
38.5804609,-121.530234,1
41.012833,-81.6051221,1
36.2742207,-87.0641699,1
40.5753817,-74.3223703,1
41.49932,-81.6943605,1
40.6342489,-74.5004796,1
41.2523634,-95.9979883,1
40.8200623,-74.3647247,1
42.279286,-71.4161565,1
45.5228939,-122.989827,1
43.6121087,-116.3915131,1
45.5230622,-122.6764816,1
34.0289259,-84.198579,1
41.2996305,-73.7360175,1
38.5767017,-92.1735164,1
41.010653,-73.9912493,1
47.0378741,-122.9006951,1
41.7003713,-73.9209701,1
33.6411316,-117.9186689,1
37.5585465,-122.2710788,1
35.8991678,-78.8636402,1
42.5372893,-71.5128022,1
33.0198431,-96.6988856,1
37.7799273,-121.9780153,1
42.2917069,-85.5872286,1
41.8525984,-72.6437022,1
38.6631083,-90.5770675,1
32.9483335,-96.7298519,1
42.1275267,-87.8289548,1
42.8864468,-78.8783689,1
41.801141,-88.0747875,1
36.162839,-85.5016423,1
31.7618778,-106.4850217,1
37.5296593,-122.0402399,1
42.0324025,-87.7416246,1
40.6781784,-73.9441579,1
40.1261743,-82.9290696,1
43.8570065,-70.1031201,1
41.6005448,-93.6091064,1
40.7663711,-74.0253715,1
42.050091,-71.8800628,1
35.9382103,-77.7905339,1
42.1167065,-86.4541894,1
42.0697509,-87.7878408,1
36.0726354,-79.7919754,1
33.2148412,-97.1330683,1
42.6525793,-73.7562317,1
42.2586342,-87.840625,1
26.8797819,-80.0533743,1
40.789142,-73.134961,1
42.2528772,-71.0022705,1
41.0886216,-74.1435843,1
40.8206555,-74.2937594,1
26.1003654,-80.3997748,1
41.0467635,-74.0229173,1
30.3321838,-81.655651,1
41.353413,-75.7382478,1
42.3211522,-85.1797142,1
28.5383355,-81.3792365,1
35.7795897,-78.6381787,1
34.0028786,-84.1446376,1
41.0264442,-81.9331974,1
40.497604,-74.4884868,1
42.2808256,-83.7430378,1
26.1275862,-80.2331036,1
21.3069444,-157.8583333,1
42.1969689,-88.0934108,1
43.16103,-77.6109219,1
40.5575986,-74.2846022,1
34.1533395,-118.7616764,1
42.2418172,-70.889759,1
40.8514881,-74.7329411,1
42.1662831,-87.9631308,1
39.6172101,-104.9508141,1
34.0753762,-84.2940899,1
39.9606643,-75.6054882,1
39.6837226,-75.7496572,1
40.6084305,-75.4901833,1
40.0325817,-75.6274583,1
41.4570108,-72.8230736,1
36.1626638,-86.7816016,1
41.9110123,-71.4418101,1
36.9685219,-86.4808043,1
40.1419544,-75.1663153,1
40.6417683,-74.8359987,1
25.8195424,-80.3553302,1
40.3284402,-74.790718,1
40.3977612,-105.0749801,1
41.5519952,-81.4392828,1
34.1425078,-118.255075,1
40.2142565,-77.0085876,1
32.9756415,-96.8899636,1
35.0077519,-97.092877,1
40.9445428,-74.0754189,1
39.6477653,-104.9877597,1
39.9868904,-75.4007058,1
41.0573188,-74.1409771,1
42.9633599,-85.6680863,1
40.7967667,-74.4815438,1
39.9242266,-83.8088171,1
40.7684331,-73.5251253,1
42.5481714,-71.1724467,1
41.143245,-81.8552196,1
41.4828144,-87.3328139,1
45.4942838,-122.8670454,1
34.8526176,-82.3940104,1
