lat,lon,value
33.6839473,-117.7946942,1
36.0726354,-79.7919754,1
32.9483335,-96.7298519,1
41.8781136,-87.6297982,1
33.8169599,-118.0372852,1
37.6871761,-97.330053,1
33.7489954,-84.3879824,1
39.6477653,-104.9877597,1
34.1069527,-117.9353413,1
33.4483771,-112.0740373,1
44.977753,-93.2650108,1
37.36883,-122.0363496,1
39.2014404,-85.9213796,1
29.7604267,-95.3698028,1
40.7442664,-73.4820687,1
33.0198431,-96.6988856,1
41.7637111,-72.6850932,1
40.7127837,-74.0059413,1
42.09975,-87.7808967,1
41.8397865,-87.9535534,1
40.8120171,-74.1243063,1
39.6428362,-84.2866083,1
32.7554883,-97.3307658,1
36.3728538,-94.2088172,1
37.7749295,-122.4194155,1
32.9545687,-97.0150078,1
47.6062095,-122.3320708,1
37.3382082,-121.8863286,1
34.0522342,-118.2436849,1
39.7390721,-75.5397878,1
40.3789957,-74.5465436,1
32.8140177,-96.9488945,1
42.0333607,-88.0834059,1
40.7281575,-74.0776417,1
33.7700504,-118.1937395,1
45.5230622,-122.6764816,1
27.7518284,-82.6267345,1
42.1584324,-71.1447732,1
43.0389025,-87.9064736,1
39.0997265,-94.5785667,1
40.8200623,-74.3647247,1
30.5082551,-97.678896,1
42.6064095,-83.1497751,1
41.3497456,-72.0790717,1
30.267153,-97.7430608,1
47.6739881,-122.121512,1
38.6270025,-90.1994042,1
40.5184013,-80.1667247,1
35.79154,-78.7811169,1
42.3056501,-71.5245087,1
40.875891,-81.4023356,1
41.0534302,-73.5387341,1
33.6189101,-117.9289469,1
40.7692649,-73.1151117,1
36.1626638,-86.7816016,1
39.768403,-86.158068,1
42.7261309,-87.7828523,1
39.9525839,-75.1652215,1
41.2523634,-95.9979883,1
40.9806535,-73.6837399,1
40.0362184,-75.5138118,1
42.888627,-88.0384195,1
40.6808726,-74.4310524,1
41.7798226,-71.4372796,1
40.7934322,-73.4151214,1
40.7862871,-74.3300842,1
37.5585465,-122.2710788,1
29.9716905,-95.6937856,1
40.3572976,-74.6672226,1
40.4406248,-79.9958864,1
33.9191799,-118.4164652,1
41.2996305,-73.7360175,1
40.7663711,-74.0253715,1
27.950575,-82.4571776,1
40.2859239,-76.6502468,1
42.1275267,-87.8289548,1
42.3714253,-83.4702132,1
39.1031182,-84.5120196,1
42.4733688,-83.2218731,1
42.2586342,-87.840625,1
40.6936488,-89.5889864,1
35.2270869,-80.8431267,1
