lat,lon,value
29.4241219,-98.4936282,1
39.6620397,-75.5668166,1
39.1031182,-84.5120196,1
40.7127837,-74.0059413,1
40.5187154,-74.4120953,1
37.3541079,-121.9552356,1
34.0522342,-118.2436849,1
40.4406248,-79.9958864,1
33.3968557,-84.5963432,1
33.7489954,-84.3879824,1
42.0028761,-71.5147839,1
37.5482697,-121.9885719,1
34.8526176,-82.3940104,1
34.0753762,-84.2940899,1
42.325578,-87.8411818,1
35.2270869,-80.8431267,1
41.7798226,-71.4372796,1
33.952602,-84.5499327,1
30.267153,-97.7430608,1
40.5697892,-79.7647705,1
37.6624312,-121.8746789,1
42.279286,-71.4161565,1
42.1292241,-80.085059,1
41.9721816,-71.4061876,1
35.2219971,-101.8312969,1
41.3497456,-72.0790717,1
32.4609764,-84.9877094,1
40.5169767,-80.2213477,1
41.8462161,-71.3557165,1
41.0534302,-73.5387341,1
43.5445959,-96.7311034,1
39.7390721,-75.5397878,1
36.3728538,-94.2088172,1
41.9445441,-71.2856082,1
42.9602743,-90.1301237,1
39.6837226,-75.7496572,1
42.7875235,-86.1089301,1
39.2014404,-85.9213796,1
37.9779776,-122.0310733,1
42.8142432,-73.9395687,1
32.2987573,-90.1848103,1
37.4323341,-121.8995741,1
41.424473,-91.0432051,1
32.8140177,-96.9488945,1
34.165357,-118.6089752,1
36.0331164,-86.7827772,1
42.4733688,-83.2218731,1
43.0730517,-89.4012302,1
39.9611755,-82.9987942,1
41.117744,-73.4081575,1
44.1858193,-88.462609,1
43.6155825,-84.2472116,1
37.3382082,-121.8863286,1
39.768403,-86.158068,1
40.7607793,-111.8910474,1
41.0467635,-74.0229173,1
35.7212689,-77.9155395,1
40.6266318,-80.0549768,1
44.9537029,-93.0899578,1
39.9950519,-82.8108366,1
41.2381,-85.8530469,1
38.5767017,-92.1735164,1
42.9633599,-85.6680863,1
26.1275862,-80.2331036,1
37.9100783,-122.0651819,1
26.1420358,-81.7948103,1
44.3106241,-69.7794897,1
43.2122851,-77.4299939,1
37.7799273,-121.9780153,1
31.3224044,-92.4343035,1
37.2934681,-80.0547626,1
41.6639383,-83.555212,1
38.2526647,-85.7584557,1
41.8781136,-87.6297982,1
42.6875323,-83.2341028,1
41.6053266,-81.4534492,1
42.2886529,-85.418056,1
30.3321838,-81.655651,1
41.2523634,-95.9979883,1
41.9220496,-71.5495101,1
42.6064095,-83.1497751,1
41.079273,-85.1393513,1
41.49932,-81.6943605,1
35.6869752,-105.937799,1
42.3600825,-71.0588801,1
42.2808256,-83.7430378,1
35.4675602,-97.5164276,1
44.977753,-93.2650108,1
40.3284402,-74.790718,1
43.0481221,-76.1474244,1
40.5184013,-80.1667247,1
33.6839473,-117.7946942,1
41.3197763,-81.6267904,1
40.8262101,-73.502068,1
41.9110123,-71.4418101,1
29.9510658,-90.0715323,1
37.36883,-122.0363496,1
40.0994425,-74.9325683,1
38.440429,-122.7140548,1
42.0333607,-88.0834059,1
32.96179,-96.8291685,1
18.4655394,-66.1057355,1
33.8545479,-84.2171424,1
40.9253725,-74.2765441,1
27.950575,-82.4571776,1
40.3933956,-82.4857181,1
40.152593,-76.7502467,1
41.1448219,-102.9774497,1
40.0378755,-76.3055144,1
40.7281575,-74.0776417,1
32.2217429,-110.926479,1
26.640628,-81.8723084,1
28.5383355,-81.3792365,1
28.0352964,-82.3892596,1
28.0341847,-82.6650992,1
47.6739881,-122.121512,1
30.421309,-87.2169149,1
39.0839973,-77.1527578,1
44.8041322,-93.1668858,1
25.7616798,-80.1917902,1
38.9338676,-77.1772604,1
35.0073697,-80.9450759,1
40.0992294,-83.1140771,1
39.3321262,-84.4172666,1
42.4834197,-71.5167139,1
39.1753377,-84.2943821,1
45.0941315,-93.3563405,1
29.7604267,-95.3698028,1
38.8106075,-90.6998477,1
45.4206749,-122.6706498,1
39.2320029,-84.3782734,1
40.4842027,-88.9936873,1
38.9989499,-84.6266111,1
41.0234304,-74.0665297,1
33.0198431,-96.6988856,1
39.934002,-74.8909988,1
40.735657,-74.1723667,1
39.0150069,-94.198558,1
39.0997265,-94.5785667,1
41.8525984,-72.6437022,1
33.046233,-96.994174,1
40.5695474,-74.6329363,1
42.0039178,-87.9703461,1
42.1900249,-87.9084039,1
27.7518284,-82.6267345,1
42.0938577,-86.4895463,1
40.4201165,-74.7146817,1
34.2506356,-118.61481,1
38.9822282,-94.6707917,1
26.1224386,-80.1373174,1
32.991235,-97.1950138,1
43.1978624,-70.8736698,1
32.7766642,-96.7969879,1
38.2009055,-84.8732835,1
45.5230622,-122.6764816,1
43.6187102,-116.2146068,1
37.5407246,-77.4360481,1
40.1856597,-75.451571,1
38.3498195,-81.6326234,1
47.6768927,-122.2059833,1
41.7508391,-88.1535352,1
32.715738,-117.1610838,1
35.823483,-78.8255621,1
36.1054312,-77.7127535,1
41.826488,-72.7300945,1
43.0494572,-88.0075875,1
34.0625106,-118.1228476,1
42.8864468,-78.8783689,1
38.0405837,-84.5037164,1
42.0629915,-88.1227199,1
40.7598227,-74.417097,1
32.9483335,-96.7298519,1
43.16103,-77.6109219,1
42.1275267,-87.8289548,1
42.3222599,-83.1763145,1
32.7554883,-97.3307658,1
39.9956193,-82.6743341,1
40.744679,-73.9485424,1
41.4644979,-81.5087322,1
41.4301349,-81.7512107,1
39.2807348,-84.3173878,1
42.1711365,-87.8445119,1
39.9625984,-76.727745,1
21.3069444,-157.8583333,1
40.5939636,-74.6049061,1
41.7634219,-72.6128339,1
33.1506744,-96.8236116,1
42.7509332,-83.0576156,1
43.0389025,-87.9064736,1
34.0211224,-118.3964665,1
42.4989936,-83.3677168,1
35.7795897,-78.6381787,1
40.5742696,-74.60988,1
37.4418834,-122.1430195,1
41.621488,-72.7456519,1
45.2998418,-122.7737062,1
33.9191799,-118.4164652,1
38.7521235,-121.2880059,1
33.5206608,-86.80249,1
40.6849626,-80.1071379,1
32.9545687,-97.0150078,1
35.9250637,-86.8688899,1
34.1069527,-117.9353413,1
33.1580933,-117.3505939,1
41.56085,-90.48344,1
41.9750287,-88.0072909,1
41.817807,-88.1734021,1
41.5772115,-93.711332,1
33.1972465,-96.6397822,1
29.028318,-81.3031179,1
41.7637111,-72.6850932,1
41.3144966,-81.83569,1
34.0633443,-117.6508876,1
40.4862157,-74.4518188,1
40.6808726,-74.4310524,1
44.8546856,-93.470786,1
40.3968012,-74.0915982,1
42.2586342,-87.840625,1
42.36837,-83.3527097,1
39.6428362,-84.2866083,1
35.0456297,-85.3096801,1
36.6002378,-121.8946761,1
37.4137536,-79.1422464,1
40.8403778,-74.0906974,1
41.0814447,-81.5190053,1
40.554887,-74.4642861,1
32.9756415,-96.8899636,1
42.3417565,-72.5884222,1
43.0116784,-88.2314813,1
41.1464852,-74.7523874,1
41.3164856,-73.0931641,1
32.5093109,-92.1193012,1
41.1578377,-80.0886703,1
35.9940329,-78.898619,1
44.9917149,-93.3600034,1
38.9071923,-77.0368707,1
40.5868114,-74.6985891,1
40.7151691,-74.6576091,1
26.1669711,-80.256595,1
33.8358492,-118.3406288,1
44.9260794,-93.4044187,1
42.2011538,-85.5800022,1
41.6861794,-72.5450779,1
40.7439905,-74.0323626,1
41.6005448,-93.6091064,1
39.978371,-86.1180435,1
37.8043637,-122.2711137,1
33.1031744,-96.6705503,1
41.6709834,-93.7130493,1
42.0841936,-88.0131275,1
41.9867507,-87.8721602,1
39.6477653,-104.9877597,1
34.1533395,-118.7616764,1
44.840798,-93.2982799,1
44.8832982,-93.2830021,1
34.0005691,-118.1597929,1
34.1477849,-118.1445155,1
42.9463291,-71.5132008,1
33.4483771,-112.0740373,1
37.3860517,-122.0838511,1
41.9348537,-87.879523,1
40.7895453,-74.0565298,1
36.0726354,-79.7919754,1
43.0232669,-78.7681412,1
42.3459271,-71.5522874,1
44.519159,-88.019826,1
40.2695538,-74.5232089,1
33.6411316,-117.9186689,1
41.9778795,-91.6656232,1
34.1489719,-118.451357,1
33.9719826,-118.4265872,1
37.7749295,-122.4194155,1
34.1517492,-118.5214282,1
40.8652865,-74.4173877,1
42.8000049,-73.8914407,1
41.240056,-81.440667,1
35.473745,-81.2545251,1
37.9715592,-87.5710898,1
42.3636331,-87.8447938,1
41.2840635,-73.4975412,1
45.5228939,-122.989827,1
37.3229978,-122.0321823,1
38.6779591,-121.1760583,1
35.0077519,-97.092877,1
42.0883603,-87.9806265,1
36.8507689,-76.2858726,1
42.2528772,-71.0022705,1
42.2203171,-83.4838244,1
40.5753817,-74.3223703,1
46.8771863,-96.7898034,1
40.6342489,-74.5004796,1
43.661471,-70.2553259,1
42.4370374,-71.5056199,1
